source,name,gender,rank,count
Österreich,Paul,m,1,687
Österreich,Jakob,m,2,660
Österreich,Elias,m,3,625
Österreich,Maximilian,m,4,620
Österreich,Felix,m,5,595
Österreich,Noah,m,6,577
Österreich,Leon,m,7,570
Österreich,Tobias,m,8,527
Österreich,David,m,9,519
Österreich,Jonas,m,9,519
Österreich,Leo,m,11,503
Österreich,Lukas,m,12,482
Österreich,Moritz,m,13,447
Österreich,Matteo,m,14,409
Österreich,Alexander,m,15,406
Österreich,Theo,m,16,394
Österreich,Anton,m,17,389
Österreich,Fabian,m,18,384
Österreich,Liam,m,19,374
Österreich,Julian,m,20,368
Österreich,Simon,m,21,360
Österreich,Emil,m,22,350
Österreich,Valentin,m,23,337
Österreich,Luca,m,24,320
Österreich,Matthias,m,25,313
Österreich,Florian,m,26,312
Österreich,Samuel,m,27,307
Österreich,Johannes,m,28,283
Österreich,Gabriel,m,29,278
Österreich,Raphael,m,30,277
Österreich,Lorenz,m,31,272
Österreich,Luis,m,31,272
Österreich,Theodor,m,33,263
Österreich,Benjamin,m,34,250
Österreich,Sebastian,m,35,222
Österreich,Oskar,m,36,216
Österreich,Niklas,m,37,215
Österreich,Levi,m,38,212
Österreich,Finn,m,39,209
Österreich,Jonathan,m,40,207
Österreich,Emilio,m,40,207
Österreich,Michael,m,42,206
Österreich,Ben,m,43,201
Österreich,Adam,m,44,196
Österreich,Oliver,m,45,192
Österreich,Fabio,m,45,192
Österreich,Max,m,47,189
Österreich,Konstantin,m,47,189
Österreich,Mateo,m,47,189
Österreich,Luka,m,50,183
Österreich,Leopold,m,51,181
Österreich,Lio,m,52,169
Österreich,Josef,m,53,168
Österreich,Vincent,m,53,168
Österreich,Adrian,m,55,165
Österreich,Daniel,m,56,162
Österreich,Nico,m,57,160
Österreich,Kilian,m,58,156
Österreich,Matheo,m,58,156
Österreich,Ferdinand,m,60,153
Österreich,Louis,m,61,152
Österreich,Dominik,m,62,146
Österreich,Philipp,m,63,139
Österreich,Arthur,m,64,132
Österreich,Leonhard,m,65,123
Österreich,Malik,m,65,123
Österreich,Henry,m,67,122
Österreich,Benedikt,m,68,109
Österreich,Viktor,m,68,109
Österreich,Ali,m,70,107
Österreich,Noel,m,71,106
Österreich,Laurenz,m,72,105
Österreich,Linus,m,72,105
Österreich,Aaron,m,74,102
Österreich,Erik,m,75,101
Österreich,Martin,m,76,99
Österreich,Timo,m,77,98
Österreich,Andreas,m,78,96
Österreich,Jan,m,78,96
Österreich,Johann,m,80,94
Österreich,Filip,m,81,92
Österreich,Tim,m,82,91
Österreich,Arian,m,82,91
Österreich,Clemens,m,84,89
Österreich,Hamza,m,84,89
Österreich,Stefan,m,86,88
Österreich,Rafael,m,87,86
Österreich,Lian,m,88,85
Österreich,Yusuf,m,89,84
Österreich,Leano,m,89,84
Österreich,Thomas,m,91,83
Österreich,Robin,m,92,80
Österreich,Emilian,m,92,80
Österreich,Muhammed,m,94,79
Österreich,Constantin,m,94,79
